;Tweet;Real
0;Vou explicar Fiz um pedido no @McDonalds_BR pelo @iFood no valor de 100 reais e uns quebrado...;0
1;"RT @falsinana: gente, um papo seríssimo aqui: chegou entregador do rappi, ifood, uber eats na sua casa com uma história triste ""ah fui roub…";0
2;@pofinho123 Te pago um lanche do ifood de até 100 reais;1
3;ta eu ganhei um cupom de 20 no Ifood daí pedi 20 peças de hot e camarão e kani agr to aqui aflita esperando que supra todas as minhas vontades de gostosura;1
4;Mano estou decepcionada com o @iFood na moral me roubaram 100 reais e mal me respondem no chat;1
5;ia lá em baixo comprar um açaí mas a chuva caiu, acho que vou pedir pelo ifood mesmo;1
6;@BowDownBiitchs 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
7;@julixnxg 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
8;RT @DandaraSA: POR DEUS EU NÃO AGUENTO MAIS IR ASSISTIR ALGO NO YOUTUBE E TER QUE VER PROPAGANDA DO IFOOD;0
9;POR DEUS EU NÃO AGUENTO MAIS IR ASSISTIR ALGO NO YOUTUBE E TER QUE VER PROPAGANDA DO IFOOD;1
10;@wmymicheli @iFood Sim kkkkk mas ele me avisou;0
11;@_adriansouza_ 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
12;@AdiosBruh @wmymicheli @iFood 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
13;@betinatlg 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
14;@iwantchaos 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
15;Nath finanças me ajuda, eu fico triste/brava e já quero pedir ifood;1
16;Pedir uma quentinha pelo Ifood tomara que seja boa 🤦;1
17;❇❇❇❇❇❇❇❇ Cupom 45 R$ NO PEDIDO + 150 R$ DE FRETE GRÁTIS. APROVEITEM A PROMOÇÃO ➡➡➡💸Cupom: qrs3840114 💸⬅⬅⬅  ✅ +45 R$ OFF ✅  ❇❇❇❇❇❇❇❇ ifood e uber eats https://t.co/WrBfwurcNy;0
18;RT @iFood: Hoje é #DiaDaFamília e eu fiz uma surpresinha! Uma lista especial de mercado pra você presentear quem você mais ama: https://t.c…;0
19;@abluntplace 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
20;@DaltaGabriel @gddvibess_ 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
21;@spaceeseavey @starsherron 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
22;Agora que vi que fiz dois pedidos no ifood, que merdaaaaaaaa;1
23;🤡achei ter pedido o almoço no iFood e não tinha clicado pra solicitar🤡  espero que uma boa alma tenha compaixão;1
24;Será Que O Ifood Te Entrega Aqui Em Casa ? 😩😋;1
25;@ifood_rappi mas precisa pagar algo com valor minimo ou nao??;0
26;@wmymicheli @iFood nossa amiga tiveram que cancelar meu pedido e estornar porque o motoboy foi embora por causa do rolo que tava no BK;1
27;@gddvibess_ Se o ifood parar de oprimir meu cartão eu te dou um chocolate;1
28;@fyvante 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
29;@Jaozinng 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
30;@itlmanu 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
31;RT @AnaPaul28462173: @iFood @proconspoficial @Procon o que eles estão Promovendo  e forçando os Consumidores é isso aqui. https://t.co/q3Wx…;0
32;RT @JniorSo30773485: Segundo o entregador do Ifood, td mundo já pegou #coronavirus   Depois do breve relato, amassa td o dinheiro, e joga d…;0
33;"RT @falsinana: gente, um papo seríssimo aqui: chegou entregador do rappi, ifood, uber eats na sua casa com uma história triste ""ah fui roub…";0
34;@jenifmz 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
35;@steblima_ @bk_1803 🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔  Cupom Rappi !    💸45 R$ NO PEDIDO 📛  + 150 R$ DE FRETE GRÁTIS 💸  APROVEITEM A PROMOÇÃO.🛑 LINK NO PERFIL🛑  💸 Cupom: qrs3840114 💸  ✅+45 R$ OFF✅  🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔🍟🍕🍔 cupom ifood  e uber eats;0
